,ExperimentName,Subject,Session,StartTime,CurrentTime,Step,Block,Scenario,TimeInCondition,Cue,Startle,Shock,FearRating,CueStart,CueEnd,ScenarioIndex,ShockType,VAS_score,VAS_type,VAS_RT
0,FORT,,1,1777024441.638954,47.93,Game,1,Predictable,0.07,0,,,,,,130,Sound,,,
0,FORT,,1,1777024441.638954,47.97,Game,1,Predictable,0.07,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,47.98,Game,1,Predictable,0.11,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.0,Game,1,Predictable,0.12,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.0,Game,1,Predictable,0.13,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.01,Game,1,Predictable,0.14,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.02,Game,1,Predictable,0.15,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.03,Game,1,Predictable,0.15,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.03,Game,1,Predictable,0.17,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.05,Game,1,Predictable,0.17,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.05,Game,1,Predictable,0.18,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.06,Game,1,Predictable,0.19,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.07,Game,1,Predictable,0.2,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.08,Game,1,Predictable,0.2,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.08,Game,1,Predictable,0.22,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.1,Game,1,Predictable,0.22,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.1,Game,1,Predictable,0.23,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.11,Game,1,Predictable,0.24,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.12,Game,1,Predictable,0.25,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.13,Game,1,Predictable,0.25,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.13,Game,1,Predictable,0.27,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.15,Game,1,Predictable,0.27,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.15,Game,1,Predictable,0.28,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.16,Game,1,Predictable,0.29,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.17,Game,1,Predictable,0.3,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.18,Game,1,Predictable,0.3,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.18,Game,1,Predictable,0.32,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.2,Game,1,Predictable,0.32,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.2,Game,1,Predictable,0.33,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.21,Game,1,Predictable,0.34,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.22,Game,1,Predictable,0.35,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.23,Game,1,Predictable,0.35,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.23,Game,1,Predictable,0.37,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.25,Game,1,Predictable,0.37,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.25,Game,1,Predictable,0.38,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.26,Game,1,Predictable,0.39,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.27,Game,1,Predictable,0.4,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.28,Game,1,Predictable,0.41,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.28,Game,1,Predictable,0.42,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.3,Game,1,Predictable,0.42,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.3,Game,1,Predictable,0.43,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.31,Game,1,Predictable,0.44,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.32,Game,1,Predictable,0.45,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.33,Game,1,Predictable,0.46,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.33,Game,1,Predictable,0.47,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.35,Game,1,Predictable,0.47,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.35,Game,1,Predictable,0.48,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.36,Game,1,Predictable,0.49,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.37,Game,1,Predictable,0.5,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.38,Game,1,Predictable,0.51,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.38,Game,1,Predictable,0.52,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.4,Game,1,Predictable,0.52,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.4,Game,1,Predictable,0.53,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.41,Game,1,Predictable,0.54,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.42,Game,1,Predictable,0.55,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.43,Game,1,Predictable,0.56,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.43,Game,1,Predictable,0.57,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.45,Game,1,Predictable,0.57,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.45,Game,1,Predictable,0.58,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.46,Game,1,Predictable,0.59,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.47,Game,1,Predictable,0.6,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.48,Game,1,Predictable,0.61,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.48,Game,1,Predictable,0.62,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.5,Game,1,Predictable,0.62,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.5,Game,1,Predictable,0.63,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.51,Game,1,Predictable,0.64,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.52,Game,1,Predictable,0.65,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.53,Game,1,Predictable,0.66,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.53,Game,1,Predictable,0.67,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.55,Game,1,Predictable,0.67,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.55,Game,1,Predictable,0.68,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.56,Game,1,Predictable,0.69,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.57,Game,1,Predictable,0.7,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.58,Game,1,Predictable,0.71,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.58,Game,1,Predictable,0.72,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.6,Game,1,Predictable,0.72,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.6,Game,1,Predictable,0.73,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.61,Game,1,Predictable,0.74,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.62,Game,1,Predictable,0.75,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.63,Game,1,Predictable,0.76,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.63,Game,1,Predictable,0.77,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.65,Game,1,Predictable,0.77,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.65,Game,1,Predictable,0.78,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.66,Game,1,Predictable,0.79,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.67,Game,1,Predictable,0.8,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.68,Game,1,Predictable,0.81,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.68,Game,1,Predictable,0.82,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.7,Game,1,Predictable,0.82,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.7,Game,1,Predictable,0.83,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.71,Game,1,Predictable,0.84,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.72,Game,1,Predictable,0.85,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.73,Game,1,Predictable,0.86,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.73,Game,1,Predictable,0.87,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.75,Game,1,Predictable,0.87,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.75,Game,1,Predictable,0.88,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.76,Game,1,Predictable,0.89,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.77,Game,1,Predictable,0.9,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.78,Game,1,Predictable,0.91,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.78,Game,1,Predictable,0.92,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.8,Game,1,Predictable,0.92,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.8,Game,1,Predictable,0.93,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.81,Game,1,Predictable,0.94,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.82,Game,1,Predictable,0.95,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.83,Game,1,Predictable,0.96,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.83,Game,1,Predictable,0.97,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.85,Game,1,Predictable,0.97,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.85,Game,1,Predictable,0.98,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.86,Game,1,Predictable,0.99,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.87,Game,1,Predictable,1.0,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.88,Game,1,Predictable,1.01,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.88,Game,1,Predictable,1.02,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.9,Game,1,Predictable,1.02,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.9,Game,1,Predictable,1.03,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.91,Game,1,Predictable,1.04,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.92,Game,1,Predictable,1.05,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.93,Game,1,Predictable,1.06,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.93,Game,1,Predictable,1.07,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.95,Game,1,Predictable,1.07,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.95,Game,1,Predictable,1.08,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.96,Game,1,Predictable,1.09,0,,,5,,,130,Sound,,,
0,FORT,,1,1777024441.638954,48.97,Game,1,Predictable,1.1,0,,,5,,,130,Sound,,,
