,ExperimentName,Subject,Session,StartTime,CurrentTime,Step,Block,Scenario,TimeInCondition,Cue,Startle,Shock,FearRating,CueStart,CueEnd,ScenarioIndex,ShockType,VAS_score,VAS_type,VAS_RT
0,FORT,,1,1777024441.638954,0.0,Start,,,,,,,,,,,Sound,,,
0,FORT,,1,1777024441.638954,47.86,Game,1,Predictable,0.0,,,,,,,110,Sound,,,
0,FORT,,1,1777024441.638954,47.93,Game,1,Predictable,0.07,0,,,,,,130,Sound,,,
0,FORT,,1,1777024441.638954,60.88,Game,1,Predictable,13.02,0,1,,7,,,131,Sound,,,
0,FORT,,1,1777024441.638954,75.94,Game,1,Predictable,28.08,1,,,7,28.08,,120,Sound,,,
0,FORT,,1,1777024441.638954,77.49,Game,1,Predictable,29.63,1,1,,7,28.08,,121,Sound,,,
0,FORT,,1,1777024441.638954,83.25,Game,1,Predictable,35.39,1,,1,7,28.08,,122,Sound,,,
0,FORT,,1,1777024441.638954,87.89,Game,1,Predictable,40.03,1,,,4,28.08,40.03,120,Sound,,,
0,FORT,,1,1777024441.638954,87.94,Game,1,Predictable,40.07,0,,,4,,,130,Sound,,,
0,FORT,,1,1777024441.638954,105.88,Game,1,Predictable,58.02,0,1,,4,,,131,Sound,,,
0,FORT,,1,1777024441.638954,112.94,Game,1,Predictable,65.07,1,,,4,65.07,,120,Sound,,,
0,FORT,,1,1777024441.638954,117.6,Game,1,Predictable,69.74,1,1,,4,65.07,,121,Sound,,,
0,FORT,,1,1777024441.638954,124.9,Game,1,Predictable,77.03,1,,,4,65.07,77.03,120,Sound,,,
0,FORT,,1,1777024441.638954,124.95,Game,1,Predictable,77.08,0,,,4,,,130,Sound,,,
0,FORT,,1,1777024441.638954,131.88,Game,1,Predictable,84.02,0,1,,4,,,131,Sound,,,
0,FORT,,1,1777024441.638954,148.99,Game,1,Predictable,101.13,1,,,4,101.13,,120,Sound,,,
0,FORT,,1,1777024441.638954,154.9,Game,1,Predictable,107.04,1,1,,4,101.13,,121,Sound,,,
0,FORT,,1,1777024441.638954,160.9,Game,1,Predictable,113.03,1,,,4,101.13,113.03,120,Sound,,,
0,FORT,,1,1777024441.638954,160.96,Game,1,Predictable,113.09,0,,,4,,,130,Sound,,,
