,ExperimentName,Subject,Session,StartTime,CurrentTime,Step,Block,Scenario,TimeInCondition,Cue,Startle,Shock,FearRating,CueStart,CueEnd,ScenarioIndex,ShockType,VAS_score,VAS_type,VAS_RT
0,FORT,2,1,1776625433.396702,0.0,Start,,,,,,,,,,,Sound,,,
0,FORT,2,1,1776625433.396702,8.73,Game,1,Predictable,0.0,,,,,,,110,Sound,,,
0,FORT,2,1,1776625433.396702,8.78,Game,1,Predictable,0.05,0,,,,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,28.73,Game,1,Predictable,20.0,0,1,,5,,,131,Sound,,,
0,FORT,2,1,1776625433.396702,33.82,Game,1,Predictable,25.1,1,,,5,25.1,,120,Sound,,,
0,FORT,2,1,1776625433.396702,36.35,Game,1,Predictable,27.62,1,1,,5,25.1,,121,Sound,,,
0,FORT,2,1,1776625433.396702,41.3,Game,1,Predictable,32.58,1,,1,5,25.1,,122,Sound,,,
0,FORT,2,1,1776625433.396702,45.74,Game,1,Predictable,37.01,1,,,5,25.1,37.01,120,Sound,,,
0,FORT,2,1,1776625433.396702,45.79,Game,1,Predictable,37.06,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,72.73,Game,1,Predictable,64.0,0,1,,5,,,131,Sound,,,
0,FORT,2,1,1776625433.396702,76.82,Game,1,Predictable,68.1,1,,,5,68.1,,120,Sound,,,
0,FORT,2,1,1776625433.396702,81.33,Game,1,Predictable,72.61,1,1,,5,68.1,,121,Sound,,,
0,FORT,2,1,1776625433.396702,88.75,Game,1,Predictable,80.02,1,,,5,68.1,80.02,120,Sound,,,
0,FORT,2,1,1776625433.396702,88.81,Game,1,Predictable,80.08,0,,,5,,,130,Sound,,,
0,FORT,2,1,1776625433.396702,97.73,Game,1,Predictable,89.01,0,1,,5,,,131,Sound,,,
0,FORT,2,1,1776625433.396702,110.82,Game,1,Predictable,102.09,1,,,5,102.09,,120,Sound,,,
0,FORT,2,1,1776625433.396702,117.48,Game,1,Predictable,108.75,1,1,,5,102.09,,121,Sound,,,
0,FORT,2,1,1776625433.396702,122.74,Game,1,Predictable,114.01,1,,,5,102.09,114.01,120,Sound,,,
0,FORT,2,1,1776625433.396702,122.79,Game,1,Predictable,114.07,0,,,5,,,130,Sound,,,
